key,name,side_effects
a681029,Naproxen,"['constipation', 'gas', 'excessive thirst', 'headache', 'dizziness', 'lightheadedness', 'drowsiness', 'difficulty falling asleep or staying asleep', 'burning or tingling in the arms or legs', 'cold symptoms', 'ringing in the ears', 'hearing problems', 'changes in vision', 'feeling that the tablet is stuck in your throat', 'unexplained weight gain', 'shortness of breath', 'difficulty breathing', 'swelling in the abdomen, ankles, feet, or legs', 'sore throat', 'fever', 'chills', 'signs of infection', 'blisters', 'rash', 'skin reddening', 'itching', 'hives', 'swelling of the eyes, face, lips, tongue, throat, arms, or hands', 'difficulty breathing or swallowing', 'hoarseness', 'excessive tiredness', 'pain in the upper right part of the stomach', 'nausea', 'diarrhea', 'yellowing of the skin or eyes', 'flu-like symptoms', 'bruises or purple blotches under the skin', 'fast heartbeat', 'cloudy, discolored, or bloody urine', 'back pain', 'difficult or painful urination', 'decreased urination', 'loss of appetite', 'confusion']"
a682530,Baclofen,"['dizziness', 'weakness', 'confusion', 'headache', 'nausea', 'constipation', 'difficulty falling asleep or staying asleep', 'tiredness', 'frequent urination', 'seeing things or hearing voices that do not exist', 'seizures']"
