key,name,side_effects
620028,Pemigatinib,"['diarrhea', 'nausea', 'changes in taste', 'vomiting', 'loss of appetite', 'weight loss', 'constipation', 'stomach pain', 'indigestion', 'sores on the lips, mouth, or throat', 'dry mouth and/or skin', 'nail disorders', 'hair loss', 'headache', 'fatigue', 'joint or back pain', 'burning or painful urination', 'pain or swelling of hands, feet, legs or ankles', 'rash', 'nose bleed', 'blurred vision, floaters in the eye, seeing flashes of light, or other changes in vision', 'muscle cramps, numbness, or tingling around the mouth', 'pale skin, shortness of breath, dizziness, weakness', 'redness, swelling, and blistering of the hands and feet']"
603008,Zonisamide,"['nausea', 'vomiting', 'weight loss', 'changes in taste', 'diarrhea', 'constipation', 'heartburn', 'dry mouth', 'headache', 'dizziness', 'confusion', 'irritability', 'difficulty falling asleep or staying asleep', 'difficulty with memory', 'pain, burning, numbness, or tingling in the hands or feet', 'uncontrollable eye movements', 'double vision', 'rash', 'blistering or peeling of skin', 'worsening or longer-lasting seizures', 'sudden back pain', 'stomach pain', 'pain when urinating', 'bloody or dark urine', 'fever, sore throat, chills, cough, and other signs of infection', 'sores in mouth', 'easy bruising', 'difficulty thinking of words or trouble speaking', 'difficulty thinking or concentrating', 'lack of coordination', 'difficulty walking', 'severe weakness', 'severe muscle pain', 'extreme tiredness', 'loss of appetite', 'fast, shallow breathing', 'irregular heartbeat', 'loss of consciousness']"
624062,Seladelpar,"['headache', 'stomach pain', 'nausea', 'heartburn', 'dizziness', 'rash', 'cough', 'hair loss', 'broken bones or fractures', 'yellowing of the skin or eyes', 'pain or swelling in the upper right part of the stomach', 'black, tarry, or bloody stools', 'coughing up or vomiting blood or something that looks like coffee grounds', 'unusual tiredness', 'mental changes such as confusion, slurred speech, or changes in mood or personality']"
601129,Zolmitriptan,"['feeling warm or cold', 'drowsiness, dizziness or faintness', 'dry mouth', 'nausea', 'heartburn', 'sweating', 'pain, tightness, pressure, or heaviness in the chest, throat, neck, or jaw', 'slow or difficult speech', 'weakness or numbness of an arm or leg', 'fast, pounding, or irregular heartbeat', 'bloody diarrhea', 'sudden or severe stomach pain', 'paleness or blue color of the fingers and toes', 'shortness of breath', 'swelling of the eyes, face, lips, tongue, or throat', 'difficulty breathing or swallowing', 'hoarseness', 'rash, hives', 'pain, burning, or tingling in the hands or feet']"
616043,Doxercalciferol,"['headache', 'heartburn', 'dizziness', 'sleep problems', 'joint pain', 'weight gain', 'feeling tired, difficulty thinking clearly, loss of appetite, nausea, vomiting, constipation, increased thirst, increased urination, or weight loss', 'swelling of the arms, hands, feet, and legs', 'shortness of breath']"
699022,Celecoxib,"['gas or bloating', 'sore throat', 'cold symptoms', 'constipation', 'dizziness', 'dysgeusia', 'unexplained weight gain', 'shortness of breath or difficulty breathing', 'swelling of the abdomen, feet, ankles, or lower legs', 'diarrhea', 'nausea', 'excessive tiredness', 'unusual bleeding or bruising', 'itching', 'lack of energy', 'loss of appetite', 'pain in the upper right part of the stomach', 'yellowing of the skin or eyes', 'flu-like symptoms', 'blisters', 'fever', 'rash', 'hives', 'swelling of the face, throat, tongue, lips, eyes, or hands', 'hoarseness', 'difficulty swallowing or breathing', 'pale skin', 'fast heartbeat', 'cloudy, discolored, or bloody urine', 'back pain', 'difficult or painful urination', 'frequent urination, especially at night']"
613029,Ponatinib,"['rash', 'dry skin', 'diarrhea', 'constipation', 'hair loss', 'white patches or sores on the lips or in the mouth and throat', 'loss of appetite', 'weight loss', 'cough', 'difficulty falling asleep or staying asleep', 'back, bone, joint, limb, or muscle pain', 'unusual bruising or bleeding; bloody black, tarry stools; blood in the urine; bloody vomit or vomit that looks like coffee grounds; unusual vaginal bleeding or heavier than usual menstrual bleeding; frequent nose bleeds; or coughing up blood', 'dry, red, painful, or irritated eyes; bleeding in the eye; sensitivity to light; or blurred vision, floaters, double vision, or other vision changes', 'wounds that do not heal', 'fever, sore throat, chills, or other signs of infection', 'changes in taste; muscle weakness; drooping eyelids or part of face; tingling, burning, pain, or loss of feeling in hands or feet', 'headache, seizures, confusion, problems thinking, or vision changes', 'decreased urination, unusual tiredness or weakness, nausea and vomiting, shortness of breath, muscle cramps, or seizures', 'swelling of your face, hands, feet, ankles, or lower legs; weight gain; or shortness of breath and cough', 'pain, swelling, or tenderness in the abdomen (stomach area), fever', 'ongoing pain that begins in the stomach area but may spread to the back, nausea, vomiting']"
609020,Febuxostat,"['nausea', 'joint pain', 'rash; skin redness or pain; blistering of lips, eyes or mouth; skin peeling; or fever and other flu-like symptoms', 'swollen face, lips, mouth, tongue or throat', 'yellow eyes or skin; dark urine; or pain or discomfort in right upper stomach area']"
691005,Ofloxacin,"['nausea', 'diarrhea', 'constipation', 'gas', 'vomiting', 'stomach pain or cramps', 'change in ability to taste food', 'loss of appetite', 'dry mouth', 'excessive tiredness', 'pale skin', 'pain, swelling, or itching of the vagina', 'severe diarrhea (watery or bloody stools) that may occur with or without fever and stomach cramps (may occur up to 2 months or more after your treatment)', 'rash', 'hives', 'itching', 'peeling or blistering of the skin', 'fever', 'swelling of the eyes, face, mouth, lips, tongue, throat, hands, feet, ankles or lower legs', 'hoarseness or throat tightness', 'difficulty breathing or swallowing', 'ongoing or worsening cough', 'yellowing of the skin or eyes; pale skin; dark urine; or light colored stool', 'extreme thirst or hunger; pale skin; feeling shaky or trembling; fast or fluttering heartbeat; sweating; frequent urination; trembling; blurred vision; or unusual anxiety', 'fainting or loss of consciousness', 'unusual bruising or bleeding', 'sudden pain in the chest, stomach, or back']"
697035,Fexofenadine,"['headache', 'drowsiness, tiredness', 'indigestion, nausea', 'hives, rash, itching, difficulty breathing or swallowing, or swelling of the face, throat, tongue, lips, eyes, hands, feet, ankles, or lower legs', 'hives that last more than 6 weeks']"
617020,Plecanatide,"['stomach bloating or tenderness', 'gas', 'mild diarrhea', 'nausea', 'dizziness', 'severe diarrhea']"
623019,Trofinetide,"['vomiting', 'decreased appetite', 'fever', 'runny nose or sore throat', 'unusual tiredness or weakness', 'anxiety', 'coughing, choking, shortness of breath, chest pain, or fever after vomiting', 'seizures']"
684032,Pindolol,"['dizziness or lightheadedness', 'excessive tiredness', 'difficulty sleeping, unusual dreams', 'nervousness', 'weakness', 'nausea', 'cold hands or feet', 'muscle or joint pain', 'numbness, burning, or tingling in the hands, arms, feet, or legs', 'difficulty breathing, shortness of breath', 'swelling of the hands, feet, ankles, or lower legs', 'unusual weight gain', 'chest pain', 'fast, slow, pounding, or irregular heartbeat']"
608051,Alvimopan,"['constipation', 'gas', 'heartburn', 'difficulty urinating', 'back pain']"
621018,Tivozanib,"['diarrhea', 'nausea', 'vomiting', 'fatigue', 'loss of appetite', 'weight loss', 'voice hoarseness', 'back pain', 'mouth sores', 'cough', 'shortness of breath', 'unusual bruising or bleeding', 'bloody or black and tarry stools', 'blood in urine', 'vomiting or coughing up blood', 'bleeding from gums', 'seizures, headaches, vision changes, or confusion', 'redness, swelling, and pain on hands and/or feet', 'confusion, headache, dizziness, chest pain, or shortness of breath', 'shortness of breath or swelling of ankles', 'chest pain or pressure; numbness or weakness on one side of body; pain in arms, back, neck or jaw; difficulty talking; shortness of breath; sudden severe headache; vision changes; or swelling in arms or legs', 'severe or persistent stomach pain, nausea, vomiting, fever, or chills', 'ongoing pain, that begins in the upper left or middle of the stomach but may spread to the back']"
682417,Butabarbital,"['drowsiness', 'difficulty falling asleep or staying asleep', 'nightmares', 'headache', 'dizziness', 'depression', 'nervousness', 'agitation', 'excitement', 'confusion', 'restlessness', 'nausea', 'vomiting', 'constipation', 'hallucinating (seeing things or hearing voices that do not exist)', 'slow, shallow breathing', 'slow heartbeat', 'fainting', 'hives', 'rash', 'itching', 'swelling of the face, throat, tongue, lips, eyes, hands, feet, ankles, or lower legs', 'difficulty breathing or swallowing', 'hoarseness']"
693002,Oxaprozin,"['diarrhea', 'constipation', 'vomiting', 'gas or bloating', 'drowsiness', 'difficulty sleeping', 'confusion', 'depression', 'dizziness', 'headache', 'ringing in the ears', 'unexplained weight gain', 'shortness of breath or difficulty breathing', 'swelling in the abdomen, ankles, feet, or legs', 'fever', 'blisters', 'rash', 'itching', 'hives', 'swelling of the eyes, face, lips, tongue, throat, or hands', 'hoarseness', 'difficulty breathing or swallowing', 'yellowing of the skin or eyes', 'lack of energy', 'excessive tiredness', 'upset stomach', 'loss of appetite', 'pain in the upper right part of the stomach', 'flu-like symptoms', 'pale skin', 'fast heartbeat', 'cloudy, discolored, or bloody urine', 'back pain', 'difficult or painful urination']"
