key,name
610011,Besifloxacin Ophthalmic
610012,Bepotastine Ophthalmic
610013,Pazopanib
610014,Human Papillomavirus (HPV) Vaccine (Cervarix)
610015,Asenapine
610016,Vigabatrin
610017,Pneumococcal Conjugate Vaccine
610018,Pitavastatin
610019,Albendazole
610020,Ulipristal
610021,Levonorgestrel
610022,Oxymorphone
610023,Denosumab Injection
610024,Dabigatran
611001,Diclofenac Transdermal Patch
611002,Diclofenac Topical (arthritis pain)
611003,Liraglutide Injection
611004,Tocilizumab Injection
611005,Dalfampridine
611006,Fingolimod
611007,Eribulin Injection
611008,IncobotulinumtoxinA Injection
611009,Cabazitaxel Injection
611010,Malathion Topical
611011,Benzyl Alcohol Topical
611012,Spinosad Topical
611013,Ustekinumab Injection
611014,Ceftaroline Injection
611015,Pegloticase Injection
611016,Lurasidone
611017,Flurbiprofen Ophthalmic
611018,Bromfenac Ophthalmic
611019,Acetaminophen Injection
611020,Vilazodone
611021,Valrubicin Intravesical
611022,Alcaftadine Ophthalmic
611023,Ipilimumab Injection
611024,Denileukin Diftitox Injection
611025,Sipuleucel-T Injection
611026,Terbutaline Injection
611027,Belimumab Injection
611028,Azilsartan
611032,Valsartan and Hydrochlorothiazide
611033,Busulfan Injection
611034,Roflumilast
611035,Tesamorelin Injection
611036,Linagliptin
611037,Rilpivirine
611038,Telaprevir
611039,Boceprevir
611040,Fidaxomicin
611041,Diclofenac Topical (actinic keratosis)
611042,Ketorolac Nasal Spray
611043,Potassium Iodide
611044,Cyclophosphamide Injection
611045,Carmustine Implant
611046,Abiraterone
611047,Triptorelin Injection
611048,Dextromethorphan and Quinidine
611049,Rivaroxaban
611050,Ticagrelor
611051,Bisacodyl Rectal
611052,Brentuximab Vedotin Injection
611053,Daunorubicin Lipid Complex Injection
612001,Doxorubicin Lipid Complex Injection
612002,Linezolid Injection
612003,Cytarabine Lipid Complex Injection
612004,Aflibercept Injection
612006,Ruxolitinib
612007,Vandetanib
612008,Clobazam
612009,Vemurafenib
612010,Vismodegib
612011,Belatacept Injection
612012,Ivacaftor
612013,Basiliximab Injection
612014,Indacaterol Oral Inhalation
612015,Fentanyl Nasal Spray
612016,Deferiprone
612017,Axitinib
612018,Crizotinib
612019,Melphalan Injection
612020,Cabergoline
612021,Tranexamic Acid
612022,Naloxone Injection
612023,Ambrisentan
612024,Eculizumab Injection
612025,Peginterferon Alfa-2b Injection (Sylatron)
612026,Fondaparinux Injection
612027,Pertuzumab Injection
612028,Ezogabine
612029,Collagenase Clostridium histolyticum Injection
612030,Tafluprost Ophthalmic
612031,Carfilzomib Injection
612032,Iloprost Oral Inhalation
612033,Enzalutamide
612034,Asparaginase Erwinia Chrysanthemi Injection
612035,"Elvitegravir, Cobicistat, Emtricitabine, and Tenofovir disoproxil fumarate (DF)"
612036,Emtricitabine and Tenofovir disoproxil fumarate
612037,Phentermine and Topiramate
612038,Mirabegron
613001,Aclidinium Oral Inhalation
613002,Temozolomide Injection
613003,Ziv-aflibercept Injection
613004,Regorafenib
613005,Bosutinib
613006,"Corticotropin, Repository Injection"
613007,Linaclotide
613008,Ingenol Mebutate Topical
613009,Glucarpidase
613010,Teriflunomide
613011,Ivermectin Topical
613012,Omacetaxine Injection
613013,Mesna
613014,Lorcaserin
613015,Cabozantinib (thyroid cancer)
613016,Crofelemer
613017,Bacitracin Ophthalmic
613018,Erythromycin Ophthalmic
613019,Teduglutide Injection
613020,"Sodium Picosulfate, Magnesium Oxide, and Anhydrous Citric Acid"
613021,Vincristine Lipid Complex Injection
613022,Bedaquiline
613023,Mipomersen Injection
613024,Icosapent Ethyl
613025,Tofacitinib
613026,Alogliptin
613027,Oxybutynin Topical
613028,Dimethyl Fumarate
613029,Ponatinib
613030,Pomalidomide
613031,Ado-trastuzumab Emtansine Injection
613032,Apixaban
613033,Canagliflozin
613034,Methazolamide
613035,Hydromorphone Rectal
613036,Unoprostone Ophthalmic
613037,Fluticasone and Vilanterol Oral Inhalation
613038,Dabrafenib
613039,Ospemifene
